year,cumulative_CO2
1851,0.188947310124158
1852,0.38551693100682194
1853,0.5905513091875566
1854,0.8320223965712245
1855,1.0759301169909903
1856,1.3368229907691074
1857,1.6002744860149218
1858,1.8678822343520767
1859,2.153167099905488
1860,2.467597637738803
1861,2.7990005165296363
1862,3.135635676368628
1863,3.492875749287373
1864,3.876633922228965
1865,4.283152142517333
1866,4.703601987511238
1867,5.152793719269488
1868,5.613078143859483
1869,6.101511960005069
1870,6.602340097488806
1871,7.134589080977395
1872,7.722159348003052
1873,8.345446213489279
1874,8.935445404126702
1875,9.570321414551454
1876,10.21501024025739
1877,10.873928835619369
1878,11.536324957936012
1879,12.244134610343536
1880,13.04780018862765
1881,13.873005306423758
1882,14.741159835094702
1883,15.660428787329325
1884,16.586838288140818
1885,17.519069750520966
1886,18.465493895210663
1887,19.458232393164398
1888,20.55373941976638
1889,21.650559382431027
1890,22.842164801231988
1891,24.08925530937638
1892,25.34546436875483
1893,26.583020020046398
1894,27.86914509611792
1895,29.230577913192352
1896,30.63577201526822
1897,32.107971948238685
1898,33.65825330645833
1899,35.35508252348741
1900,37.14276675780401
1901,38.99012225945442
1902,40.89178541981143
1903,42.96598959909759
1904,45.07183898045166
1905,47.313777013766966
1906,49.67284698427277
1907,52.334294358569295
1908,54.908740956668794
1909,57.578722997607294
1910,60.381664498852174
1911,63.24042160886568
1912,66.24175035376264
1913,69.49741937924783
1914,72.46673196565554
1915,75.40454986853685
1916,78.57027708109165
1917,81.8501163043084
1918,85.09597810347375
1919,87.95076410916413
1920,91.2517475834524
1921,94.15178511689702
1922,97.23359779244457
1923,100.73702178618801
1924,104.27983773610543
1925,107.87046679607688
1926,111.41468632496083
1927,115.32573436355983
1928,119.2513564739993
1929,123.47058212552415
1930,127.38250656723788
1931,130.91278265380106
1932,134.120026705694
1933,137.4832855383245
1934,141.12844746994324
1935,144.95429930983767
1936,149.14294102386134
1937,153.62354741068725
1938,157.8494750512725
1939,162.33437960775248
1940,167.182612032365
1941,172.1200037923127
1942,177.06491718695887
1943,182.16799964356835
1944,187.20962109444255
1945,191.49275227743598
1946,196.18833813224654
1947,201.44953345133166
1948,207.04099904339884
1949,212.5362191524503
1950,218.68298670118344
1951,225.2688552210101
1952,231.97642884759705
1953,238.87666671278734
1954,245.95351885698597
1955,253.6929157129789
1956,261.9818322597569
1957,270.61052592675605
1958,279.53462246022553
1959,288.9520407549897
1960,298.82618689142754
1961,308.77533478330633
1962,319.1371034785798
1963,330.1040782446087
1964,341.63760383333556
1965,353.70324030121793
1966,366.33625802055457
1967,379.39308214412614
1968,393.18444022480725
1969,407.7934248615695
1970,423.35126011919255
1971,439.57693958234194
1972,456.50804002581424
1973,474.41156580688624
1974,492.2271636435119
1975,509.9597489274032
1976,528.668399225187
1977,547.9794836858122
1978,568.0756184284008
1979,588.7017440590207
1980,609.0330971761315
1981,628.964250671715
1982,648.6651333263734
1983,668.3814588555875
1984,688.5695332953788
1985,708.9639650493498
1986,729.7211650651419
1987,751.0352692285062
1988,773.0273630465759
1989,795.2815628390415
1990,817.4384763228746
1991,839.6236149583185
1992,861.6406804647328
1993,883.8291331631839
1994,906.1650066109221
1995,928.990452308197
1996,952.2815225856652
1997,975.7818566372074
1998,999.3268434123836
1999,1023.1093427634786
2000,1047.7139534467524
2001,1072.5678943459563
2002,1097.932385525367
2003,1124.4961196060174
2004,1152.4415579794434
2005,1181.3915873077842
2006,1211.3055792873163
2007,1242.386904251025
2008,1273.6703846468015
2009,1304.4523940584481
2010,1336.6346640863028
2011,1369.8243864833676
2012,1403.4845251979418
2013,1438.1357333260355
2014,1473.0026247217622
2015,1507.8733068334009
2016,1543.0644192733112
2017,1578.575962041493
2018,1614.4079351379464
2019,1650.5603385626714
2020,1687.033172315668
